Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  130	 44.591015	 44.587210	 43.904419	 44.468160	     	  0.984885	  0.972002	  0.973144	  0.980781	     
  131	 43.979198	 44.377050	 43.731054	 44.000048	  min	  0.984105	  0.971452	  0.972639	  0.980085	     
  132	 44.775521	 44.823003	 44.091414	 44.661415	     	  0.984319	  0.972488	  0.973600	  0.980560	     
  133	 43.774328	 44.237283	 43.502057	 43.800766	  min	  0.983490	  0.970306	  0.971227	  0.979249	     
  134	 44.319956	 44.328007	 43.615024	 44.195535	     	  0.983900	  0.970028	  0.971140	  0.979462	     
  135	 43.574087	 44.064597	 43.319957	 43.607903	  min	  0.982747	  0.969126	  0.969851	  0.978327	     
  136	 44.204333	 44.354849	 43.594925	 44.120759	     	  0.982707	  0.969611	  0.970494	  0.978489	     
  137	 43.473101	 43.925818	 43.157715	 43.490269	  min	  0.982130	  0.968153	  0.968617	  0.977548	     
  138	 43.742909	 44.019031	 43.256299	 43.701872	     	  0.982151	  0.967940	  0.968463	  0.977501	     
  139	 43.361483	 43.686913	 42.905033	 43.333612	  min	  0.981615	  0.966454	  0.966677	  0.976598	     
  140	 43.956687	 44.034870	 43.291493	 43.851088	     	  0.981535	  0.967327	  0.968023	  0.976915	     
  141	 43.323744	 43.734273	 42.957826	 43.325403	  min	  0.981143	  0.966425	  0.966459	  0.976243	     
  142	 43.941744	 44.106780	 43.339339	 43.861777	     	  0.981329	  0.967714	  0.968041	  0.976845	     
  143	 43.970479	 44.126133	 43.375095	 43.890351	     	  0.981294	  0.967766	  0.968034	  0.976830	     
  144	 48.093377	 47.921049	 47.451961	 47.951230	     	  0.990360	  0.984203	  0.985057	  0.988450	     
  145	 44.369839	 45.453941	 44.479898	 44.551600	     	  0.986036	  0.978094	  0.977143	  0.983230	     
  146	 44.797831	 45.760422	 44.946885	 44.969496	     	  0.985891	  0.978041	  0.977785	  0.983232	     
  147	 43.901932	 44.657914	 43.744587	 43.991791	     	  0.984780	  0.974048	  0.972910	  0.981013	     
  148	 44.797551	 45.729010	 45.057313	 44.983212	     	  0.985277	  0.977217	  0.977476	  0.982633	     
  149	 43.487141	 44.113538	 43.247941	 43.543743	     	  0.983420	  0.970836	  0.969634	  0.979025	     
  150	 43.838957	 44.415504	 43.775771	 43.919070	     	  0.983334	  0.971385	  0.971360	  0.979347	     
  151	 43.287861	 43.623784	 42.842098	 43.263565	  min	  0.982306	  0.967719	  0.966658	  0.977267	     
  152	 44.003984	 44.598276	 43.983961	 44.094139	     	  0.982773	  0.971691	  0.971944	  0.979121	     
  153	 43.243090	 43.416670	 42.671951	 43.170330	  min	  0.981816	  0.966196	  0.965178	  0.976439	     
  154	 43.617383	 43.930342	 43.347207	 43.621250	     	  0.982050	  0.968093	  0.968092	  0.977398	     
  155	 43.103476	 43.254606	 42.549785	 43.030427	  min	  0.981057	  0.964729	  0.963659	  0.975436	     
  156	 43.774052	 44.060490	 43.449759	 43.764145	     	  0.981428	  0.968006	  0.968215	  0.976989	     
